Path,Extension,Category,Import Time (s)
Assets,folder,folder,0.027009
Packages/com.unity.modules.imgui,unknown,unknown,0.011463
Packages/com.unity.modules.animation,unknown,unknown,0.011266
Packages/com.unity.modules.xr,unknown,unknown,0.012201
Assets/PostProcessing,folder,folder,0.012963
Assets/Fonts,folder,folder,0.015259
Packages/com.unity.modules.assetbundle,unknown,unknown,0.011645
Assets/Prefabs,folder,folder,0.010945
Assets/Editor,folder,folder,0.011600
Assets/Animators,folder,folder,0.023243
Assets/_Completed-Assets,folder,folder,0.026380
Packages/com.unity.modules.screencapture,unknown,unknown,0.015062
Packages/com.unity.timeline,unknown,unknown,0.013427
Packages/com.unity.modules.cloth,unknown,unknown,0.014237
Packages/com.unity.ext.nunit,unknown,unknown,0.012882
Packages/com.unity.modules.imageconversion,unknown,unknown,0.014250
Packages/com.unity.modules.terrainphysics,unknown,unknown,0.012588
Packages/com.unity.modules.unitywebrequest,unknown,unknown,0.013446
Packages/com.unity.modules.unitywebrequestassetbundle,unknown,unknown,0.013196
Assets/Materials,folder,folder,0.015715
Packages/com.unity.modules.subsystems,unknown,unknown,0.013535
Packages/com.unity.modules.unityanalytics,unknown,unknown,0.013198
Packages/com.unity.modules.physics,unknown,unknown,0.013047
Packages/com.unity.modules.vr,unknown,unknown,0.014290
Packages/com.unity.ads,unknown,unknown,0.012914
Assets/_Complete-Game.unity,.unity,SerializedAsset,0.012743
Packages/com.unity.modules.physics2d,unknown,unknown,0.013604
Assets/_Complete-Game,folder,folder,0.014761
Packages/com.unity.modules.wind,unknown,unknown,0.012948
Packages/com.unity.modules.uielements,unknown,unknown,0.012802
Packages/com.unity.modules.unitywebrequestaudio,unknown,unknown,0.012584
Packages/com.unity.modules.particlesystem,unknown,unknown,0.014850
Assets/Sprites,folder,folder,0.013961
Assets/Plugins,folder,folder,0.012953
Packages/com.unity.modules.tilemap,unknown,unknown,0.009289
Packages/com.unity.modules.ui,unknown,unknown,0.008039
Assets/TutorialInfo,folder,folder,0.008587
Packages/com.unity.collab-proxy,unknown,unknown,0.007971
Packages/com.unity.textmeshpro,unknown,unknown,0.012962
Packages/com.unity.ide.rider,unknown,unknown,0.014226
Packages/com.unity.ide.vscode,unknown,unknown,0.012804
Packages/com.unity.modules.vehicles,unknown,unknown,0.013663
Packages/com.unity.analytics,unknown,unknown,0.013595
Packages/com.unity.modules.umbra,unknown,unknown,0.015003
Packages/com.unity.modules.unitywebrequestwww,unknown,unknown,0.013162
Packages/com.unity.modules.jsonserialize,unknown,unknown,0.012520
Assets/AudioClips,folder,folder,0.013682
Packages/com.unity.modules.director,unknown,unknown,0.013852
Packages/com.unity.modules.audio,unknown,unknown,0.013399
Packages/com.unity.ide.visualstudio,unknown,unknown,0.015048
Packages/com.unity.modules.video,unknown,unknown,0.013522
Packages/com.unity.modules.ai,unknown,unknown,0.014236
Assets/Scripts,folder,folder,0.013552
Packages/com.unity.modules.terrain,unknown,unknown,0.013081
Assets/Profiles,folder,folder,0.015919
Packages/com.unity.purchasing,unknown,unknown,0.013220
Packages/com.unity.modules.unitywebrequesttexture,unknown,unknown,0.013060
Assets/Models,folder,folder,0.013023
Packages/com.unity.ugui,unknown,unknown,0.014967
Packages/com.unity.xr.legacyinputhelpers,unknown,unknown,0.012620
Assets/PostProcessing/Editor,folder,folder,0.008443
Assets/_Completed-Assets/Animators,folder,folder,0.008766
Packages/com.unity.ide.rider/Rider,unknown,unknown,0.014427
Assets/Fonts/Bowlby_One,folder,folder,0.012920
Packages/com.unity.textmeshpro/Editor Resources,unknown,unknown,0.013385
Assets/PostProcessing/Textures,folder,folder,0.009963
Assets/Scripts/UI,folder,folder,0.013156
Assets/PostProcessing/Resources,folder,folder,0.013130
Packages/com.unity.collab-proxy/Tests,unknown,unknown,0.013578
Assets/_Completed-Assets/AudioMixers,folder,folder,0.014844
Assets/PostProcessing/Editor Resources,folder,folder,0.008646
Packages/com.unity.ext.nunit/net35,unknown,unknown,0.013294
Packages/com.unity.ads/Editor,unknown,unknown,0.009321
Packages/com.unity.collab-proxy/Editor,unknown,unknown,0.008299
Packages/com.unity.purchasing/Tests,unknown,unknown,0.007424
Packages/com.unity.xr.legacyinputhelpers/Runtime,unknown,unknown,0.009074
Assets/Scripts/Tank,folder,folder,0.013281
Packages/com.unity.textmeshpro/Scripts,unknown,unknown,0.009916
Assets/Plugins/Editor,folder,folder,0.007802
Packages/com.unity.ide.vscode/Editor,unknown,unknown,0.008210
Packages/com.unity.ugui/Tests,unknown,unknown,0.007642
Assets/_Completed-Assets/Prefabs,folder,folder,0.015168
Packages/com.unity.xr.legacyinputhelpers/Tests,unknown,unknown,0.011248
Packages/com.unity.purchasing/Editor,unknown,unknown,0.007771
Packages/com.unity.ide.visualstudio/Editor,unknown,unknown,0.007664
Assets/TutorialInfo/Scripts,folder,folder,0.011196
Assets/Scripts/Camera,folder,folder,0.017855
Packages/com.unity.analytics/Tests,unknown,unknown,0.011171
Assets/TutorialInfo/Icons,folder,folder,0.015257
Packages/com.unity.analytics/DataPrivacy,unknown,unknown,0.019895
Packages/com.unity.ugui/Runtime,unknown,unknown,0.009049
Assets/_Completed-Assets/Scripts,folder,folder,0.011709
Assets/PostProcessing/Runtime,folder,folder,0.011774
Packages/com.unity.timeline/Editor,unknown,unknown,0.007957
Packages/com.unity.textmeshpro/Tests,unknown,unknown,0.007434
Assets/Scripts/Managers,folder,folder,0.013572
Assets/_Completed-Assets/Scenes,folder,folder,0.017324
Packages/com.unity.xr.legacyinputhelpers/Editor,unknown,unknown,0.010454
Packages/com.unity.textmeshpro/Package Resources,unknown,unknown,0.015349
Packages/com.unity.ugui/Editor,unknown,unknown,0.007649
Packages/com.unity.analytics/Editor,unknown,unknown,0.015585
Assets/Scripts/Shell,folder,folder,0.016237
Packages/com.unity.timeline/Runtime,unknown,unknown,0.012420
Assets/PostProcessing/Textures/Lens Dirt,folder,folder,0.018612
Packages/com.unity.timeline/Runtime/Activation,unknown,unknown,0.017082
Packages/com.unity.timeline/Editor/Audio,unknown,unknown,0.013092
Assets/PostProcessing/Resources/Shaders,folder,folder,0.014438
Packages/com.unity.xr.legacyinputhelpers/Tests/Runtime,unknown,unknown,0.029295
Packages/com.unity.timeline/Editor/Animation,unknown,unknown,0.014210
Assets/_Completed-Assets/Scripts/UI,folder,folder,0.009789
Packages/com.unity.purchasing/Tests/Runtime,unknown,unknown,0.007302
Packages/com.unity.timeline/Editor/Attributes,unknown,unknown,0.013395
Packages/com.unity.timeline/Editor/Activation,unknown,unknown,0.007653
Assets/PostProcessing/Runtime/Components,folder,folder,0.012737
Packages/com.unity.collab-proxy/Editor/Collab,unknown,unknown,0.015577
